sigma_theta,sigma_c,sigma_t,stress_ratio,brittleness_index,Wet,depth,rockburst_grade,rock_quality_index,seismic_energy,fracture_volume,total_seismic_energy,seismic_pulses
28.4,59.65,8.67,0.48,6.88,2.12,710.0,,,,,,
36.58,90.47,14.88,0.4,6.08,2.11,710.0,,,,,,
55.52,115.65,12.15,0.48,9.52,1.9,710.0,,,,,,
71.15,131.477,14.91,0.54,8.82,5.46,710.0,,,,,,
86.93,162.23,13.44,0.53,12.29,9.1,710.0,,,,,,
113.56,115.65,9.46,0.98,12.23,3.99,710.0,,,,,,
36.46,110.01,12.94,0.33,8.5,4.53,710.0,,,,,,
97.06,97.51,11.93,1.0,8.17,4.93,710.0,,,,,,
91.43,157.63,11.96,0.58,13.18,6.27,710.0,,,,,,
19.14,106.31,2.76,0.18,38.52,2.03,710.0,,,,,,
58.05,147.85,6.98,0.39,21.18,3.62,710.0,,,,,,
34.89,151.7,7.47,0.23,20.31,3.17,710.0,,,,,,
16.21,135.07,7.05,0.12,19.16,2.49,710.0,,,,,,
51.5,132.05,6.33,0.39,20.86,4.63,710.0,,,,,,
40.56,140.83,8.39,0.29,16.79,3.63,710.0,,,,,,
35.82,127.93,4.43,0.28,28.9,3.67,710.0,,,,,,
33.15,106.94,5.84,0.31,18.31,2.15,710.0,,,,,,
9.74,88.51,2.16,0.11,40.98,1.77,710.0,,,,,,
33.94,117.48,4.23,0.29,27.77,2.37,710.0,,,,,,
18.32,96.41,2.01,0.19,47.93,1.87,710.0,,,,,,
110.35,167.19,12.67,0.66,13.2,6.83,710.0,,,,,,
26.06,118.46,3.51,0.22,33.75,2.89,710.0,,,,,,
20.82,122.47,6.22,0.17,19.69,2.81,710.0,,,,,,
67.73,112.5,4.1,0.6,27.44,6.02,710.0,,,,,,
64.43,112.5,3.4,0.57,33.09,5.8,710.0,,,,,,
62.88,112.5,3.4,0.56,33.09,5.62,710.0,,,,,,
54.51,99.59,4.1,0.55,24.29,3.26,710.0,,,,,,
52.08,112.5,3.4,0.46,33.09,4.68,710.0,,,,,,
53.93,112.5,3.4,0.48,33.09,4.5,710.0,,,,,,
68.98,112.5,4.1,0.61,27.44,5.32,710.0,,,,,,
18.167,49.1,1.56,0.37,31.4,3.3,710.0,,,,,,
21.0,60.0,3.17,0.35,18.9,1.7,710.0,,,,,,
31.16,82.0,3.87,0.38,21.2,2.3,710.0,,,,,,
46.376,74.8,2.98,0.62,25.1,3.2,710.0,,,,,,
48.64,76.0,4.09,0.64,18.6,2.5,710.0,,,,,,
22.92,57.3,1.43,0.4,40.0,1.5,710.0,,,,,,
99.088,112.6,3.74,0.88,30.1,5.2,710.0,,,,,,
35.156,79.9,3.12,0.44,25.6,2.5,710.0,,,,,,
15.84,49.5,2.16,0.32,22.9,2.8,710.0,,,,,,
13.02,65.1,2.28,0.2,28.5,1.2,710.0,,,,,,
21.12,52.8,2.18,0.4,24.2,2.3,710.0,,,,,,
29.121,57.1,3.34,0.51,17.1,2.2,710.0,,,,,,
90.0,170.0,11.3,0.53,15.04,9.0,710.0,,,,,,
90.0,220.0,7.4,0.41,29.73,7.3,710.0,,,,,,
62.6,165.0,9.4,0.38,17.53,9.0,710.0,,,,,,
55.4,176.0,7.3,0.32,24.11,9.3,710.0,,,,,,
30.0,88.7,3.7,0.34,23.97,6.6,710.0,,,,,,
48.75,180.0,8.3,0.27,21.69,5.0,710.0,,,,,,
80.0,180.0,6.7,0.44,26.87,5.5,710.0,,,,,,
89.0,236.0,8.3,0.38,28.43,5.0,710.0,,,,,,
98.6,120.0,6.5,0.82,18.46,3.8,710.0,,,,,,
108.4,140.0,8.0,0.77,17.5,5.0,710.0,,,,,,
57.0,180.0,8.3,0.32,21.69,5.0,710.0,,,,,,
50.0,130.0,6.0,0.38,21.67,5.0,710.0,,,,,,
62.5,175.0,7.25,0.36,24.14,5.0,710.0,,,,,,
75.0,180.0,8.3,0.42,21.69,5.0,710.0,,,,,,
11.0,115.0,5.0,0.1,23.0,5.7,710.0,,,,,,
43.4,123.0,6.0,0.35,20.5,5.0,710.0,,,,,,
18.8,178.0,5.7,0.11,31.23,7.4,710.0,,,,,,
34.0,150.0,5.4,0.23,27.78,7.8,710.0,,,,,,
56.1,131.99,9.44,0.43,13.98,7.44,710.0,,,,,,
54.2,134.0,9.1,0.4,0.147,7.1,710.0,,,,,,
70.3,128.3,8.7,0.55,0.148,6.4,710.0,,,,,,
60.7,111.5,7.86,0.54,14.19,6.16,710.0,,,,,,
54.2,134.0,9.09,0.404,15.0,7.08,710.0,,,,,,
70.3,129.0,8.73,0.547,11.4,6.43,710.0,,,,,,
35.0,133.4,9.3,0.26,14.34,2.9,710.0,,,,,,
157.3,91.23,6.92,0.58,13.18,6.27,710.0,,,,,,
148.4,66.77,3.81,0.45,17.53,5.08,710.0,,,,,,
132.1,51.5,2.47,0.39,20.86,4.63,710.0,,,,,,
127.9,35.82,1.24,0.28,28.9,3.67,710.0,,,,,,
